id,partisan_score
3265778538,-0.684
1.42E+18,NA
1.39E+18,NA
2709141217,0.5
8.38E+17,NA
967625413,0.882
222207235,1
7.80E+17,NA
1540460208,1
2565750492,1
46114432,1
1.24E+18,NA
295966275,0.926
1.28E+18,NA
1.10E+18,NA
1.35E+18,NA
1540374656,1
145420030,0.4
4195512575,1
171198826,-1
1838231437,0.882
86004635,1
1.31E+18,NA
1.36E+18,NA
369585373,NA
1417178186,0.895
877331791,-1
1.32E+18,NA
1548449911,0.818
26527588,0.506
3927610036,-0.739
3159147915,1
7.23E+17,NA
9.06E+17,NA
7.12E+17,NA
1.14E+18,NA
2232317695,0.692
1.20E+18,NA
75839893,-1
61913539,0.452
81646967,1
1466730212,NA
1.13E+18,NA
1.34E+18,NA
1.33E+18,NA
1.03E+18,NA
715046844,1
8.19E+17,NA
1.27E+18,NA
2942221865,-0.365
9.19E+17,NA
407566718,1
1169438480,0.9
563264623,1
2188032668,-0.429
94178964,1
77159384,0.333
1.37E+18,NA
8.10E+17,NA
1.41E+18,NA
16607913,NA
581833131,0.818
1.02E+18,NA
1.38E+18,NA
356728123,1
61740137,NA
247552535,1
1.11E+18,NA
264950445,0.333
8.69E+17,NA
26467668,1
16186671,-0.455
1.15E+18,NA
1944743929,1
1.09E+18,NA
9.64E+17,NA
789845232,0.778
1.40E+18,NA
2617689786,1
2416940856,1
746669755,NA
17449331,-1
4326463994,-0.667
1.30E+18,NA
3617901,-0.111
372458476,1
2406341711,1
7.10E+17,NA
1876626193,1
1460038886,1
749565752,1
900113336,1
964839810,1
8.55E+17,NA
3141635426,-1
8.74E+17,NA
988226695,-1
1573472503,1
3176362787,1
1.21E+18,NA
9.67E+17,NA
1.05E+18,NA
2178663834,1
7.99E+17,NA
2855329598,0.125
49445813,0.333
18460100,1
1.26E+18,NA
3188379497,NA
531565758,0.854
2290511454,1
1061420826,1
7.68E+17,NA
1058808528,0.846
44916155,NA
34522964,-1
3249664333,1
587857205,NA
287415321,0.455
870820856,1
9.08E+17,NA
1.04E+18,NA
1495776367,1
536068379,0.667
411720323,1
1583545832,0.875
3558427992,0.5
369338248,NA
2649099231,1
2715070556,0.875
254503283,1
32691118,1
2961983950,1
7.98E+17,NA
524834439,0.769
2442483617,1
