"id","partisan_score","misinfo_score","misinfo_score_weighted"
3265778538,-0.684,0.416,0.411
1.42e+18,NA,NA,NA
1.39e+18,NA,NA,NA
2709141217,0.5,0.66,0.66
8.38e+17,NA,NA,NA
967625413,0.882,0.715,0.69
222207235,1,0.812,0.865
7.8e+17,NA,NA,NA
1540460208,1,0.676,0.767
2565750492,1,0.724,0.757
46114432,1,0.814,0.949
1.24e+18,NA,NA,NA
295966275,0.926,0.692,0.66
1.28e+18,NA,NA,NA
1.1e+18,NA,NA,NA
1.35e+18,NA,NA,NA
1540374656,1,0.813,0.803
145420030,0.4,0.739,0.704
4195512575,1,0.713,0.773
171198826,-1,0.448,0.418
1838231437,0.882,0.676,0.716
86004635,1,0.769,0.765
1.31e+18,NA,NA,NA
1.36e+18,NA,NA,NA
369585373,NA,NA,NA
1417178186,0.895,0.696,0.667
877331791,-1,0.452,0.441
1.32e+18,NA,NA,NA
1548449911,0.818,0.704,0.719
26527588,0.506,0.575,0.572
3927610036,-0.739,0.428,0.437
3159147915,1,0.755,0.719
7.23e+17,NA,NA,NA
9.06e+17,NA,NA,NA
7.12e+17,NA,NA,NA
1.14e+18,NA,NA,NA
2232317695,0.692,0.681,0.678
1.2e+18,NA,NA,NA
75839893,-1,0.54,0.571
61913539,0.452,0.635,0.626
81646967,1,0.816,0.803
1466730212,NA,0.5,0.5
1.13e+18,NA,NA,NA
1.34e+18,NA,NA,NA
1.33e+18,NA,NA,NA
1.03e+18,NA,NA,NA
715046844,1,0.782,0.817
8.19e+17,NA,NA,NA
1.27e+18,NA,NA,NA
2942221865,-0.365,0.535,0.528
9.19e+17,NA,NA,NA
407566718,1,0.706,0.719
1169438480,0.9,0.712,0.711
563264623,1,0.749,0.841
2188032668,-0.429,0.443,0.453
94178964,1,0.734,0.69
77159384,0.333,0.683,0.494
1.37e+18,NA,NA,NA
8.1e+17,NA,NA,NA
1.41e+18,NA,NA,NA
16607913,NA,NA,NA
581833131,0.818,0.671,0.719
1.02e+18,NA,NA,NA
1.38e+18,NA,NA,NA
356728123,1,0.716,0.804
61740137,NA,NA,NA
247552535,1,0.744,0.757
1.11e+18,NA,NA,NA
264950445,0.333,0.7,0.733
8.69e+17,NA,NA,NA
26467668,1,0.683,0.737
16186671,-0.455,0.485,0.429
1.15e+18,NA,NA,NA
1944743929,1,0.77,0.763
1.09e+18,NA,NA,NA
9.64e+17,NA,NA,NA
789845232,0.778,0.716,0.813
1.4e+18,NA,NA,NA
2617689786,1,0.771,0.825
2416940856,1,0.505,0.51
746669755,NA,0.84,0.84
17449331,-1,0.402,0.363
4326463994,-0.667,0.509,0.529
1.3e+18,NA,NA,NA
3617901,-0.111,0.577,0.591
372458476,1,0.663,0.802
2406341711,1,0.692,0.686
7.1e+17,NA,NA,NA
1876626193,1,0.802,0.918
1460038886,1,0.682,0.724
749565752,1,0.778,0.744
900113336,1,0.721,0.727
964839810,1,0.705,0.693
8.55e+17,NA,NA,NA
3141635426,-1,0.493,0.484
8.74e+17,NA,NA,NA
988226695,-1,0.422,0.461
1573472503,1,0.71,0.656
3176362787,1,0.807,0.857
1.21e+18,NA,NA,NA
9.67e+17,NA,NA,NA
1.05e+18,NA,NA,NA
2178663834,1,0.694,0.669
7.99e+17,NA,NA,NA
2855329598,0.125,0.624,0.66
49445813,0.333,0.707,0.779
18460100,1,0.714,0.663
1.26e+18,NA,NA,NA
3188379497,NA,NA,NA
531565758,0.854,0.669,0.668
2290511454,1,0.67,0.686
1061420826,1,0.781,0.716
7.68e+17,NA,NA,NA
1058808528,0.846,0.676,0.723
44916155,NA,NA,NA
34522964,-1,0.817,0.817
3249664333,1,0.688,0.637
587857205,NA,NA,NA
287415321,0.455,0.602,0.659
870820856,1,0.747,0.672
9.08e+17,NA,NA,NA
1.04e+18,NA,NA,NA
1495776367,1,0.684,0.665
536068379,0.667,0.658,0.651
411720323,1,0.784,0.777
1583545832,0.875,0.65,0.622
3558427992,0.5,0.451,0.487
369338248,NA,NA,NA
2649099231,1,0.696,0.669
2715070556,0.875,0.757,0.739
254503283,1,0.815,0.731
32691118,1,0.665,0.653
2961983950,1,0.667,0.683
7.98e+17,NA,NA,NA
524834439,0.769,0.691,0.716
2442483617,1,0.742,0.763
9.8e+17,NA,NA,NA
2236677127,1,0.668,0.672
2419593378,1,0.538,0.538
384019593,-0.889,0.438,0.509
1.19e+18,NA,NA,NA
2839566441,1,0.714,0.806
743553354,-1,0.439,0.39
9.2e+17,NA,NA,NA
2180203997,0.667,0.698,0.747
929043613,0.944,0.707,0.686
447452921,1,0.675,0.66
2377965165,-0.667,0.537,0.527
701161117,NA,0.7,0.7
8.56e+17,NA,NA,NA
1967199073,NA,NA,NA
7.36e+17,NA,NA,NA
205472863,0.354,0.596,0.607
9.92e+17,NA,NA,NA
421334372,1,0.561,0.58
2475989550,0.913,0.663,0.69
2849064914,1,0.738,0.709
2850456049,0.842,0.65,0.669
2978475864,1,0.687,0.708
746511344,1,0.726,0.735
385717299,-0.953,0.453,0.402
2964893927,1,0.709,0.751
114268609,NA,NA,NA
556969755,0.932,0.695,0.733
23510139,1,0.769,0.781
558046999,1,0.725,0.759
1.25e+18,NA,NA,NA
349856685,0.976,0.683,0.719
7.83e+17,NA,NA,NA
1.22e+18,NA,NA,NA
1423888892,1,0.714,0.899
1935335732,0.667,0.746,0.787
3003542523,1,0.392,0.023
48476662,0.778,0.792,0.797
3365988797,1,0.727,0.755
373580557,1,0.674,0.686
4559222536,1,0.724,0.706
14409129,1,0.725,0.635
341244862,-0.714,0.455,0.394
1.17e+18,NA,NA,NA
3007815702,-1,0.535,0.544
9.75e+17,NA,NA,NA
1231910426,0.796,0.652,0.639
1545467088,NA,NA,NA
2770753891,1,0.25,0.25
2891904027,0.4,0.619,0.584
2166348872,0.765,0.666,0.687
1.07e+18,NA,NA,NA
1.18e+18,NA,NA,NA
4872824915,0,0.709,0.77
399251929,0.167,0.507,0.498
493400060,0.925,0.658,0.667
52957870,0.818,0.711,0.729
239338961,0.833,0.65,0.635
574373659,0.083,0.561,0.565
18025295,-0.85,0.443,0.489
35813556,-0.333,0.57,0.567
426948856,0.81,0.662,0.696
4866566489,0.5,0.777,0.809
243882040,-1,0.456,0.44
7.63e+17,NA,NA,NA
35196174,0.25,0.591,0.682
7.43e+17,NA,NA,NA
7.06e+17,NA,NA,NA
159756104,1,0.453,0.411
1002002024,1,0.874,0.861
148776416,1,0.685,0.699
8.91e+17,NA,NA,NA
2450621492,NA,NA,NA
1119695227,1,0.719,0.713
254131718,1,0.783,0.783
48036425,0.889,0.7,0.677
469913850,1,0.688,0.651
372754277,0.714,0.788,0.792
2153265831,0.867,0.728,0.71
101915304,NA,NA,NA
23231925,0,0.61,0.618
2316065196,-1,0.387,0.397
35787660,1,0.728,0.669
221370027,1,0.744,0.723
571631385,NA,NA,NA
340875095,1,0.773,0.755
